Description,Resolution,Topic,Priority,Survey results
I'm having trouble with VPN since this morning. It's affecting my work.,Checked VPN settings and found misconfiguration. Updated settings and tested connection successfully.,Network Issue,Medium,Neutral
"When you get a chance, I'd like contributor role on Confluence. project deadline tomorrow.",Processed access request and granted contributor role on Confluence. User confirmed receipt.,Access Request,Low,Satisfied
URGENT: Need immediate write access to Tableau. PROJECT DEADLINE TOMORROW. BLOCKING MY WORK.,Verified user credentials and role. Provisioned write access on Tableau. Sent user instructions and confirmed access working. Issue resolved same-day.,Access Request,Critical,Dissatisfied
"When I use my printer, it sometimes paper jam. Not urgent but would like it looked at.",Opened access panel and carefully removed stuck paper. Inspected rollers for damage. Printer now functioning without errors.,Hardware Failure,Low,Satisfied
I have a client presentation in 2 hours and need to know how to reset my password? This is time-sensitive and needs immediate attention.,Provided comprehensive answer to how to reset my password. Escalated to HR team lead to ensure priority handling. User able to proceed immediately with client engagement.,General Inquiry,Critical,Neutral
I need contributor role on Confluence urgently. quarterly reviews starting. Please process ASAP.,Approved access request. Granted contributor role to Confluence. User notified and confirmed access successful.,Access Request,High,Dissatisfied
URGENT: Need immediate write access to VPN. CLIENT DEMO TODAY. BLOCKING MY WORK.,Verified user credentials and role. Provisioned write access on VPN. Sent user instructions and confirmed access working. Issue resolved same-day.,Access Request,Critical,Dissatisfied
Our project deadline is tomorrow and I need to understand where is the backup location? This is time-sensitive and needs immediate attention.,Provided comprehensive answer to where is the backup location. Escalated to HR team lead to ensure priority handling. User able to proceed immediately with client engagement.,General Inquiry,Critical,Neutral
our internal CRM is giving me a 'memory leak' error on Windows 11. Can you help me fix this?,Found memory leak in our internal CRM. Applied patch and restarted application. Issue resolved.,Software Bug,Medium,Neutral
My desktop is blue screen. Can you help me fix this?,Analyzed minidump file. Identified driver incompatibility. Updated GPU drivers and disabled problematic third-party service. Stability confirmed.,Hardware Failure,Medium,Neutral
"I've noticed my internet is a bit slow suddenly just now, but it still works. Just curious if anything can be done.",Reviewed internet performance metrics. Optimized settings and updated drivers. Performance improved.,Network Issue,Low,Neutral
"When you get a chance, I'd like contributor role on Jira. quarterly reviews starting.",Processed access request and granted contributor role on Jira. User confirmed receipt.,Access Request,Low,Satisfied
Just curious - how to enable two-factor authentication?,Answered inquiry about how to enable two-factor authentication. Directed to self-service resources for future reference.,General Inquiry,Low,Neutral
VS Code is crashing with '500 Internal Server Error' on Windows 11. Preventing work from being completed. Urgent fix needed.,Reproduced 500 Internal Server Error issue in VS Code. Pushed bug fix and updated all affected systems. Tested thoroughly and confirmed resolution.,Software Bug,High,Neutral
CRITICAL BUG: Adobe Reader on Windows 10 is completely broken - infinite loop. ENTIRE TEAM BLOCKED. NEEDS IMMEDIATE FIX.,Identified infinite loop error in Adobe Reader. Deployed hotfix and cleared application cache. Rolled out patch to all users. Verified functionality restored across all instances.,Software Bug,Critical,Dissatisfied
Can I please get write access on Confluence? I need it for new joiner starting Monday.,Reviewed and approved access request. Provisioned write access on Confluence. User now has necessary permissions.,Access Request,Medium,Neutral
Just curious - how to reset my password?,Answered inquiry about how to reset my password. Directed to self-service resources for future reference.,General Inquiry,Low,Neutral
Can I please get admin access on SharePoint? I need it for quarterly reviews starting.,Reviewed and approved access request. Provisioned admin access on SharePoint. User now has necessary permissions.,Access Request,Medium,Neutral
I need contributor role on Salesforce urgently. client demo today. Please process ASAP.,Approved access request. Granted contributor role to Salesforce. User notified and confirmed access successful.,Access Request,High,Dissatisfied
I need contributor role on GitHub urgently. new joiner starting Monday. Please process ASAP.,Approved access request. Granted contributor role to GitHub. User notified and confirmed access successful.,Access Request,High,Dissatisfied
My desktop is won't boot and impacting my team's work. We need this fixed urgently to meet our deadline.,Checked BIOS settings and power supply. Found loose power connector on motherboard. Reseated connections and system boots successfully.,Hardware Failure,High,Dissatisfied
I'm having trouble with WiFi for 2 days. It's affecting my work.,Checked WiFi settings and found misconfiguration. Updated settings and tested connection successfully.,Network Issue,Medium,Dissatisfied
My printer is offline. Can you help me fix this?,Checked network connectivity and printer IP address. Restarted printer and reconnected to network. Status now online.,Hardware Failure,Medium,Neutral
"I've noticed my VPN is a bit slow since this morning, but it still works. Just curious if anything can be done.",Reviewed VPN performance metrics. Optimized settings and updated drivers. Performance improved.,Network Issue,Low,Neutral
CRITICAL BUG: VS Code on macOS is completely broken - 500 Internal Server Error. ENTIRE TEAM BLOCKED. NEEDS IMMEDIATE FIX.,Identified 500 Internal Server Error error in VS Code. Deployed hotfix and cleared application cache. Rolled out patch to all users. Verified functionality restored across all instances.,Software Bug,Critical,Dissatisfied
"I've noticed my ethernet is a bit slow since this morning, but it still works. Just curious if anything can be done.",Reviewed ethernet performance metrics. Optimized settings and updated drivers. Performance improved.,Network Issue,Low,Neutral
I need admin access on GitHub urgently. new joiner starting Monday. Please process ASAP.,Approved access request. Granted admin access to GitHub. User notified and confirmed access successful.,Access Request,High,Dissatisfied
"When you get a chance, I'd like admin access on Tableau. quarterly reviews starting.",Processed access request and granted admin access on Tableau. User confirmed receipt.,Access Request,Low,Satisfied
Can I please get contributor role on VPN? I need it for quarterly reviews starting.,Reviewed and approved access request. Provisioned contributor role on VPN. User now has necessary permissions.,Access Request,Medium,Neutral
I need quick help with: what is the policy on software licenses? This is important for my current project.,Answered question about what is the policy on software licenses. Provided step-by-step guidance and resources. User able to proceed with task.,General Inquiry,High,Neutral
My printer is paper jam and impacting my team's work. We need this fixed urgently to meet our deadline.,Opened access panel and carefully removed stuck paper. Inspected rollers for damage. Printer now functioning without errors.,Hardware Failure,High,Dissatisfied
I need contributor role on SharePoint urgently. client demo today. Please process ASAP.,Approved access request. Granted contributor role to SharePoint. User notified and confirmed access successful.,Access Request,High,Dissatisfied
20 users are having trouble connecting to ethernet suddenly just now. This is severely impacting operations and needs urgent attention.,Diagnosed connectivity issue with ethernet. Updated network configuration and reset affected user connections. Verified all users can connect successfully.,Network Issue,High,Neutral
Sometimes Excel on Windows 10 shows '500 Internal Server Error' but I can work around it. Just wanted to report it.,Investigated 500 Internal Server Error in Excel. Non-critical issue. Documented workaround and scheduled for next update.,Software Bug,Low,Neutral
Can I please get contributor role on Confluence? I need it for quarterly reviews starting.,Reviewed and approved access request. Provisioned contributor role on Confluence. User now has necessary permissions.,Access Request,Medium,Neutral
My desktop is overheating and impacting my team's work. We need this fixed urgently to meet our deadline.,Inspected cooling system and found fans clogged. Replaced thermal paste on CPU. Temperatures back to normal range.,Hardware Failure,High,Dissatisfied
I need quick help with: how do I connect to VPN? This is important for my current project.,Answered question about how do I connect to VPN. Provided step-by-step guidance and resources. User able to proceed with task.,General Inquiry,High,Neutral
I need quick help with: what is the policy on software licenses? This is important for my current project.,Answered question about what is the policy on software licenses. Provided step-by-step guidance and resources. User able to proceed with task.,General Inquiry,High,Neutral
Slack is giving me a '500 Internal Server Error' error on macOS. Can you help me fix this?,Found 500 Internal Server Error in Slack. Applied patch and restarted application. Issue resolved.,Software Bug,Medium,Neutral
Quick question: where is the IT documentation?,Provided answer: where is the IT documentation. Linked to relevant documentation for additional details.,General Inquiry,Medium,Neutral
Slack is crashing with 'Access Denied' on Windows 10. Preventing work from being completed. Urgent fix needed.,Reproduced Access Denied issue in Slack. Pushed bug fix and updated all affected systems. Tested thoroughly and confirmed resolution.,Software Bug,High,Neutral
5 users are having trouble connecting to WiFi suddenly just now. This is severely impacting operations and needs urgent attention.,Diagnosed connectivity issue with WiFi. Updated network configuration and reset affected user connections. Verified all users can connect successfully.,Network Issue,High,Neutral
My desktop is overheating and impacting my team's work. We need this fixed urgently to meet our deadline.,Inspected cooling system and found fans clogged. Replaced thermal paste on CPU. Temperatures back to normal range.,Hardware Failure,High,Dissatisfied
I need quick help with: how do I connect to VPN? This is important for my current project.,Answered question about how do I connect to VPN. Provided step-by-step guidance and resources. User able to proceed with task.,General Inquiry,High,Neutral
"I've noticed my ethernet is a bit slow since this morning, but it still works. Just curious if anything can be done.",Reviewed ethernet performance metrics. Optimized settings and updated drivers. Performance improved.,Network Issue,Low,Neutral
URGENT: Need immediate read access to GitHub. PROJECT DEADLINE TOMORROW. BLOCKING MY WORK.,Verified user credentials and role. Provisioned read access on GitHub. Sent user instructions and confirmed access working. Issue resolved same-day.,Access Request,Critical,Dissatisfied
I need quick help with: how to reset my password? This is important for my current project.,Answered question about how to reset my password. Provided step-by-step guidance and resources. User able to proceed with task.,General Inquiry,High,Neutral
Can I please get contributor role on Tableau? I need it for quarterly reviews starting.,Reviewed and approved access request. Provisioned contributor role on Tableau. User now has necessary permissions.,Access Request,Medium,Neutral
I have a client presentation in 2 hours and need to know what is the policy on software licenses? This is time-sensitive and needs immediate attention.,Provided comprehensive answer to what is the policy on software licenses. Escalated to IT team lead to ensure priority handling. User able to proceed immediately with client engagement.,General Inquiry,Critical,Neutral
I'm having trouble with ethernet for 2 days. It's affecting my work.,Checked ethernet settings and found misconfiguration. Updated settings and tested connection successfully.,Network Issue,Medium,Dissatisfied
Just curious - where is the IT documentation?,Answered inquiry about where is the IT documentation. Directed to self-service resources for future reference.,General Inquiry,Low,Neutral
This is blocking my entire team from proceeding with what is the policy on software licenses? This is time-sensitive and needs immediate attention.,Provided comprehensive answer to what is the policy on software licenses. Escalated to IT team lead to ensure priority handling. User able to proceed immediately with client engagement.,General Inquiry,Critical,Dissatisfied
CRITICAL BUG: Slack on macOS is completely broken - 500 Internal Server Error. ENTIRE TEAM BLOCKED. NEEDS IMMEDIATE FIX.,Identified 500 Internal Server Error error in Slack. Deployed hotfix and cleared application cache. Rolled out patch to all users. Verified functionality restored across all instances.,Software Bug,Critical,Dissatisfied
Quick question: how do I connect to VPN?,Provided answer: how do I connect to VPN. Linked to relevant documentation for additional details.,General Inquiry,Medium,Neutral
1 user are having trouble connecting to VPN since this morning. This is severely impacting operations and needs urgent attention.,Diagnosed connectivity issue with VPN. Updated network configuration and reset affected user connections. Verified all users can connect successfully.,Network Issue,High,Neutral
Adobe Reader is crashing with 'connection timeout' on Windows 10. Preventing work from being completed. Urgent fix needed.,Reproduced connection timeout issue in Adobe Reader. Pushed bug fix and updated all affected systems. Tested thoroughly and confirmed resolution.,Software Bug,High,Neutral
I need contributor role on Confluence urgently. new joiner starting Monday. Please process ASAP.,Approved access request. Granted contributor role to Confluence. User notified and confirmed access successful.,Access Request,High,Dissatisfied
I need read access on VPN urgently. new joiner starting Monday. Please process ASAP.,Approved access request. Granted read access to VPN. User notified and confirmed access successful.,Access Request,High,Dissatisfied
Just curious - how to enable two-factor authentication?,Answered inquiry about how to enable two-factor authentication. Directed to self-service resources for future reference.,General Inquiry,Low,Neutral
CRITICAL: ENTIRE FLOOR CANNOT ACCESS INTERNAL NETWORK suddenly just now. ENTIRE TEAM DOWN. URGENT FIX NEEDED.,Identified routing failure on internal network. Reconfigured network switch and updated routing table. Reset credentials and verified connectivity for all affected users. Issue resolved.,Network Issue,Critical,Dissatisfied
I have a client presentation in 2 hours and need to know where is the backup location? This is time-sensitive and needs immediate attention.,Provided comprehensive answer to where is the backup location. Escalated to Security team lead to ensure priority handling. User able to proceed immediately with client engagement.,General Inquiry,Critical,Neutral
I need read access on Salesforce urgently. project deadline tomorrow. Please process ASAP.,Approved access request. Granted read access to Salesforce. User notified and confirmed access successful.,Access Request,High,Dissatisfied
I need read access on Tableau urgently. quarterly reviews starting. Please process ASAP.,Approved access request. Granted read access to Tableau. User notified and confirmed access successful.,Access Request,High,Dissatisfied
Slack is crashing with '403 Forbidden' on Windows 11. Preventing work from being completed. Urgent fix needed.,Reproduced 403 Forbidden issue in Slack. Pushed bug fix and updated all affected systems. Tested thoroughly and confirmed resolution.,Software Bug,High,Neutral
This is blocking my entire team from proceeding with how do I connect to VPN? This is time-sensitive and needs immediate attention.,Provided comprehensive answer to how do I connect to VPN. Escalated to IT team lead to ensure priority handling. User able to proceed immediately with client engagement.,General Inquiry,Critical,Dissatisfied
I have a client presentation in 2 hours and need to know where is the backup location? This is time-sensitive and needs immediate attention.,Provided comprehensive answer to where is the backup location. Escalated to Security team lead to ensure priority handling. User able to proceed immediately with client engagement.,General Inquiry,Critical,Neutral
Quick question: what is the policy on software licenses?,Provided answer: what is the policy on software licenses. Linked to relevant documentation for additional details.,General Inquiry,Medium,Neutral
"When you get a chance, I'd like write access on SharePoint. project deadline tomorrow.",Processed access request and granted write access on SharePoint. User confirmed receipt.,Access Request,Low,Satisfied
Critical issue: just me affected by laptop blue screen. This is blocking our operations. Need immediate resolution.,Diagnosed blue screen error from crash dump. Updated chipset drivers and rolled back recent Windows patch. System now stable.,Hardware Failure,Critical,Neutral
My printer is offline. Can you help me fix this?,Checked network connectivity and printer IP address. Restarted printer and reconnected to network. Status now online.,Hardware Failure,Medium,Neutral
CRITICAL BUG: Adobe Reader on Windows 11 is completely broken - 500 Internal Server Error. ENTIRE TEAM BLOCKED. NEEDS IMMEDIATE FIX.,Identified 500 Internal Server Error error in Adobe Reader. Deployed hotfix and cleared application cache. Rolled out patch to all users. Verified functionality restored across all instances.,Software Bug,Critical,Dissatisfied
CRITICAL: 5 USERS CANNOT ACCESS VPN since this morning. ENTIRE TEAM DOWN. URGENT FIX NEEDED.,Identified routing failure on VPN. Reconfigured network switch and updated routing table. Reset credentials and verified connectivity for all affected users. Issue resolved.,Network Issue,Critical,Dissatisfied
I need read access on VPN urgently. client demo today. Please process ASAP.,Approved access request. Granted read access to VPN. User notified and confirmed access successful.,Access Request,High,Dissatisfied
I'm onboarding a critical client and need immediate clarification on how to enable two-factor authentication? This is time-sensitive and needs immediate attention.,Provided comprehensive answer to how to enable two-factor authentication. Escalated to HR team lead to ensure priority handling. User able to proceed immediately with client engagement.,General Inquiry,Critical,Neutral
VS Code is crashing with 'memory leak' on Windows 11. Preventing work from being completed. Urgent fix needed.,Reproduced memory leak issue in VS Code. Pushed bug fix and updated all affected systems. Tested thoroughly and confirmed resolution.,Software Bug,High,Neutral
