ticket_id,industry,category,priority,sentiment,title,description,created_date,channel,resolution_time_hours
TKT-000076,E-Commerce / Retail,billing,high,negative,Gift card balance ignored at checkout,"Hey,

My $392 gift card (GC-979940) was not deducted at checkout. I was charged the full amount. 

Regards,",2025-05-29,email,4
TKT-000077,E-Commerce / Retail,account,medium,negative,Cannot see invoices or download receipts,"Good afternoon,

'My Invoices' shows a blank page. I need receipts for 9 orders for expenses. I need this resolved immediately.",2025-07-26,web,8
TKT-000078,E-Commerce / Retail,technical,high,positive,Payment page 504 Gateway Timeout,Every time I click 'Proceed to Payment' I get a 504 error after ~30s. Tried Chrome and mobile.,2025-07-18,email,8
TKT-000084,E-Commerce / Retail,technical,high,negative,Order ORD-9777466 stuck in transit 11 days,"Hi there,

Order ORD-9777466 has shown 'In Transit' on FedEx for 11 days. Last scan: Dallas hub. 

Thanks,",2025-11-21,chat,4
TKT-000087,E-Commerce / Retail,billing,medium,negative,Promo code not applied — order ORD-8364526,"Good morning,

I used code WELCOME20 at checkout for order ORD-8364526 but the 64% discount was never deducted. I was charged $372.

I expect a quick resolution.",2025-08-26,chat,72
TKT-000095,E-Commerce / Retail,delivery,high,negative,Order ORD-6347973 not delivered on time,"Hi there,

I'm really frustrated because order ORD-6347973 was due 2026-02-09. It is now 7 days late. DHL tracking 1Z1610572603 shows no updates. 

Thank you,",2025-08-31,email,1
TKT-000096,E-Commerce / Retail,technical,high,neutral,App crashes at payment on Android 14,"Hello,

The app crashes every time I reach the payment screen. Reinstalled twice. Version 4.2.0.",2025-08-04,mobile,2
TKT-000100,E-Commerce / Retail,delivery,high,negative,Order ORD-6090126 delivered to wrong address,"Good morning,

UPS shows order ORD-6090126 delivered to wrong street. My correct address is on the confirmation. I need this resolved immediately.

Regards,",2025-10-12,email,4
TKT-000102,E-Commerce / Retail,technical,medium,neutral,Wishlist items disappear after logout,"Hello,

I save items to my wishlist but every time I log out and back in the wishlist is empty.",2025-08-05,web,12
TKT-000104,E-Commerce / Retail,technical,low,positive,Wishlist items disappear after logout,"Hey,

I save items to my wishlist but every time I log out and back in the wishlist is empty.

Please help ASAP.",2026-02-04,web,48
TKT-000107,E-Commerce / Retail,account,medium,neutral,Saved payment card disappears after a day,"I've added my Visa card 4 times. It vanishes within a day.

Thank you,",2025-12-05,email,48
TKT-000112,E-Commerce / Retail,delivery,high,neutral,Return pickup for ORD-8053280 never scheduled,I requested a return pickup for order ORD-8053280 on 2026-02-08 but no one has contacted me to arrange it.,2025-02-15,mobile,8
TKT-000115,E-Commerce / Retail,billing,medium,positive,Promo code not applied — order ORD-3081873,"Hi,

I used code SAVE15 at checkout for order ORD-3081873 but the 31% discount was never deducted. I was charged $781.

Regards,",2025-06-04,email,24
TKT-000119,E-Commerce / Retail,delivery,high,negative,Return pickup for ORD-4383723 never scheduled,"Hi there,

I requested a return pickup for order ORD-4383723 on 2026-02-10 but no one has contacted me to arrange it.",2025-08-10,web,2
TKT-000121,E-Commerce / Retail,delivery,high,negative,Package ORD-4687479 marked delivered but missing,"Hi,

USPS shows order ORD-4687479 delivered 2026-02-10 but nothing is at my door or with neighbours. Tracking: 1Z3401359915.",2025-12-03,email,2
TKT-000124,E-Commerce / Retail,delivery,medium,negative,Package ORD-1156558 delivered to someone else,"Dear support team,

Delivery photo shows my package left at a different house. My address is clearly on the label. 

Best,",2025-03-31,web,24
TKT-000126,E-Commerce / Retail,technical,medium,neutral,Website logs me out every few minutes,"The site logs me out every 2 minutes even when actively using it. Cookies are enabled.

Please help ASAP.",2025-03-07,web,24
TKT-000130,E-Commerce / Retail,technical,medium,neutral,Product images broken on all pages,"Hey,

All images show broken icons on Edge v120 on macOS Sonoma. Cleared cache.",2025-02-25,web,24
TKT-000132,E-Commerce / Retail,billing,high,negative,Cancelled order ORD-2813693 but still charged,"Hi there,

I cancelled order ORD-2813693 within 9 minutes of placing it but was still charged $503.

Thanks,",2025-04-22,mobile,1
TKT-000133,E-Commerce / Retail,account,low,neutral,Cannot update delivery address — reverts on save,"Good afternoon,

Every time I update my default address it reverts to the old one.

Looking forward to your response.",2025-06-07,mobile,72
TKT-000134,E-Commerce / Retail,account,low,positive,Cannot log in despite correct credentials,"Hi there,

I reset my password 10 minutes ago but still get 'Invalid credentials' on 4 devices.",2025-04-24,mobile,96
TKT-000145,E-Commerce / Retail,account,medium,neutral,Account suspended without notification,"Good morning,

I logged in to find my account suspended. No email, no warning. I have 6 pending orders.

Thanks,",2025-02-16,web,72
TKT-000153,E-Commerce / Retail,account,low,positive,Loyalty points dropped to zero after app update,"I had 1990 points. After the app updated on 2026-02-05 they all vanished.

Thank you,",2025-07-20,web,24
TKT-000154,E-Commerce / Retail,technical,medium,neutral,Checkout form validation loop — address rejected,"Good morning,

Checkout keeps saying my address is invalid. I've tried 20 times.",2025-06-10,mobile,96
TKT-000156,E-Commerce / Retail,account,medium,positive,Cannot update delivery address — reverts on save,"Good afternoon,

Every time I update my default address it reverts to the old one.

Looking forward to your response.",2025-09-05,web,12
TKT-000159,E-Commerce / Retail,billing,high,negative,Wrong amount charged on order ORD-8704520,"Good morning,

Invoice for order ORD-8704520 shows $744 but the product page listed $697. I was overcharged by $47. 

I expect a quick resolution.",2025-11-15,web,24
TKT-000163,E-Commerce / Retail,billing,high,negative,Cancelled order ORD-4293446 but still charged,"Dear support team,

I cancelled order ORD-4293446 within 30 minutes of placing it but was still charged $149.",2025-04-28,mobile,12
TKT-000166,E-Commerce / Retail,technical,medium,negative,Discount vanishes between cart and checkout,"Hi,

A 22% discount shows correctly in my cart but disappears at checkout.

Regards,",2025-11-19,email,96
TKT-000173,E-Commerce / Retail,account,medium,positive,Password reset email not arriving,"Hi,

Clicked 'Forgot Password' 4 times. No reset email arrives. Checked spam.",2026-02-05,email,96
TKT-000178,E-Commerce / Retail,billing,high,negative,Wrong amount charged on order ORD-6793850,"Invoice for order ORD-6793850 shows $186 but the product page listed $146. I was overcharged by $40.

Looking forward to your response.",2025-12-11,web,12
TKT-000181,E-Commerce / Retail,technical,low,negative,Discount vanishes between cart and checkout,"Hey,

I'm having a serious issue — a 28% discount shows correctly in my cart but disappears at checkout. This has been going on for too long.",2025-06-20,mobile,24
TKT-000182,E-Commerce / Retail,billing,high,positive,Partial refund for order ORD-5260211 is short,"To whom it may concern,

I returned 3 items from order ORD-5260211 worth $790. The refund I got was only $13. I'm owed $777 more.

Best,",2025-10-11,email,8
TKT-000183,E-Commerce / Retail,technical,low,positive,App crashes at payment on iOS 17,"Hi there,

The app crashes every time I reach the payment screen. Reinstalled twice. Version 4.1.2.",2025-05-13,web,72
TKT-000186,E-Commerce / Retail,billing,high,negative,Cancelled order ORD-6545135 but still charged,"Hi,

I cancelled order ORD-6545135 within 29 minutes of placing it but was still charged $227.

Thanks,",2025-11-03,mobile,1
TKT-000189,E-Commerce / Retail,delivery,high,negative,Paid for express shipping on ORD-3519066 but standard used,"To whom it may concern,

I paid $18 for next-day shipping on order ORD-3519066 but it arrived 4 days late.

Please help ASAP.",2025-07-14,mobile,1
TKT-000190,E-Commerce / Retail,billing,high,negative,Tax charged on tax-exempt account — order ORD-9667278,I'm really frustrated because my tax exemption certificate is on file but order ORD-9667278 still shows $39 in sales tax. Please reverse. ,2025-12-08,web,4
TKT-000194,E-Commerce / Retail,technical,medium,neutral,Payment page 504 Gateway Timeout,"Every time I click 'Proceed to Payment' I get a 504 error after ~30s. Tried Safari and mobile.

Please help ASAP.",2025-12-27,web,72
TKT-000196,E-Commerce / Retail,billing,high,negative,Promo code not applied — order ORD-9323962,I used code FLASH30 at checkout for order ORD-9323962 but the 36% discount was never deducted. I was charged $299. ,2025-09-08,email,8
TKT-000203,E-Commerce / Retail,technical,medium,neutral,Checkout form validation loop — address rejected,"Hello,

Checkout keeps saying my address is invalid. I've tried 18 times.

Please help ASAP.",2025-03-14,email,96
TKT-000207,E-Commerce / Retail,delivery,high,positive,Order ORD-1065360 stuck in transit 8 days,"Good morning,

Order ORD-1065360 has shown 'In Transit' on FedEx for 8 days. Last scan: Atlanta hub.

I expect a quick resolution.",2026-01-31,mobile,8
TKT-000217,E-Commerce / Retail,account,medium,neutral,Password reset email not arriving,"Hi,

Clicked 'Forgot Password' 5 times. No reset email arrives. Checked spam.

Thanks,",2025-12-13,email,48
TKT-000219,E-Commerce / Retail,technical,low,neutral,Product images broken on all pages,All images show broken icons on Chrome v120 on iOS 17. Cleared cache.,2025-07-10,web,48
TKT-000222,E-Commerce / Retail,technical,high,neutral,Wrong item in order ORD-4378437,"To whom it may concern,

I can't believe that i ordered a size M black hoodie but received the wrong colour in order ORD-4378437.

I expect a quick resolution.",2025-03-26,mobile,24
TKT-000224,E-Commerce / Retail,account,low,neutral,Cannot log in despite correct credentials,"Hey,

I reset my password 10 minutes ago but still get 'Invalid credentials' on 4 devices.

Looking forward to your response.",2026-01-23,chat,48
TKT-000229,E-Commerce / Retail,account,medium,positive,Cannot see invoices or download receipts,"Hi there,

'My Invoices' shows a blank page. I need receipts for 6 orders for expenses.

Thanks,",2025-06-27,web,24
TKT-000234,E-Commerce / Retail,billing,medium,positive,Refund for order ORD-4039834 not received after 17 days,"To whom it may concern,

I cancelled order ORD-4039834 on 2026-01-25. The $203 refund was promised within 5 business days. Still nothing.

Thanks,",2025-12-31,chat,12
TKT-000236,E-Commerce / Retail,billing,high,negative,Partial refund for order ORD-5455445 is short,"To whom it may concern,

This is unacceptable — i returned 3 items from order ORD-5455445 worth $356. The refund I got was only $50. I'm owed $306 more. I am very frustrated.

Thanks,",2025-12-21,mobile,8
TKT-000239,E-Commerce / Retail,billing,high,neutral,Tax charged on tax-exempt account — order ORD-4263930,"Dear support team,

My tax exemption certificate is on file but order ORD-4263930 still shows $76 in sales tax. Please reverse.

Best,",2025-08-25,mobile,12
TKT-000244,E-Commerce / Retail,delivery,low,negative,Wrong item in order ORD-2124117,"I ordered a size L navy jacket but received the wrong size in order ORD-2124117.

Regards,",2025-02-16,email,120
TKT-000245,E-Commerce / Retail,technical,low,neutral,Product images broken on all pages,"Dear support team,

All images show broken icons on Chrome v119 on Windows 11. Cleared cache.

Thank you,",2025-05-31,email,120
TKT-000247,E-Commerce / Retail,technical,medium,neutral,Payment page 504 Gateway Timeout,"Hello,

Every time I click 'Proceed to Payment' I get a 504 error after ~30s. Tried Safari and mobile.",2025-12-15,email,24
TKT-000249,E-Commerce / Retail,technical,medium,neutral,Website logs me out every few minutes,"Hi,

The site logs me out every 3 minutes even when actively using it. Cookies are enabled.

Please help ASAP.",2025-07-09,chat,24
TKT-000252,E-Commerce / Retail,billing,high,negative,Double charge on order ORD-9358902,"I was charged twice for order ORD-9358902. Both $431 charges appeared on my debit card on 2026-02-04. Please refund the duplicate.

I expect a quick resolution.",2025-12-21,mobile,12
TKT-000254,E-Commerce / Retail,delivery,medium,negative,Order ORD-9387837 delivered to wrong address,"Hi,

USPS shows order ORD-9387837 delivered to wrong street. My correct address is on the confirmation. 

Regards,",2026-02-03,chat,72
TKT-000263,E-Commerce / Retail,technical,medium,positive,Wishlist items disappear after logout,"Hi,

I save items to my wishlist but every time I log out and back in the wishlist is empty.

I expect a quick resolution.",2025-10-22,web,96
TKT-000267,E-Commerce / Retail,delivery,high,positive,Paid for express shipping on ORD-5715964 but standard used,"Good morning,

I paid $12 for next-day shipping on order ORD-5715964 but it arrived 4 days late.

Please help ASAP.",2025-09-14,email,4
TKT-000268,E-Commerce / Retail,delivery,high,negative,Damaged item in order ORD-8483535,"Good morning,

This is unacceptable — the item in order ORD-8483535 arrived with a soaked outer box. Product inside is unusable. I have photos.

I expect a quick resolution.",2025-08-28,email,8
TKT-000272,E-Commerce / Retail,account,high,positive,Password reset email not arriving,"Clicked 'Forgot Password' 5 times. No reset email arrives. Checked spam.

Regards,",2025-06-21,web,4
TKT-000274,E-Commerce / Retail,account,high,positive,Account shows wrong order count,"My account summary says I have 16 orders but I've actually placed 60.

Thank you,",2025-08-05,web,8
TKT-000278,E-Commerce / Retail,technical,medium,positive,Search returns zero results for existing products,"Good afternoon,

Searching 'wireless headphones' returns nothing, yet these products appear on the homepage.

Thank you,",2025-10-16,web,8
TKT-000279,E-Commerce / Retail,billing,medium,neutral,Subscription charge I never authorised,A $13/month charge appeared on my statement. I never signed up for any subscription. Please cancel and refund all 2 months.,2025-04-08,mobile,72
TKT-000281,E-Commerce / Retail,billing,medium,negative,Cancelled order ORD-9099709 but still charged,"I cancelled order ORD-9099709 within 22 minutes of placing it but was still charged $715.

I expect a quick resolution.",2025-03-28,chat,8
TKT-000288,E-Commerce / Retail,delivery,high,negative,Order ORD-2334796 not delivered on time,"Good afternoon,

I can't believe that order ORD-2334796 was due 2026-02-07. It is now 9 days late. USPS tracking 1Z2817940731 shows no updates. This has been going on for too long.",2025-07-26,email,1
TKT-000292,E-Commerce / Retail,billing,high,neutral,Subscription charge I never authorised,A $11/month charge appeared on my statement. I never signed up for any subscription. Please cancel and refund all 5 months.,2025-05-11,web,12
TKT-000295,E-Commerce / Retail,billing,medium,negative,Partial refund for order ORD-2256030 is short,"To whom it may concern,

I returned 3 items from order ORD-2256030 worth $779. The refund I got was only $67. I'm owed $712 more. 

Best,",2026-02-06,web,96
TKT-000296,E-Commerce / Retail,account,low,neutral,Loyalty points dropped to zero after app update,I had 5000 points. After the app updated on 2026-02-10 they all vanished.,2025-10-30,web,24
TKT-000301,E-Commerce / Retail,billing,high,negative,Promo code not applied — order ORD-5110434,"Dear support team,

I used code WELCOME20 at checkout for order ORD-5110434 but the 20% discount was never deducted. I was charged $44. 

I expect a quick resolution.",2025-10-08,email,48
TKT-000302,E-Commerce / Retail,delivery,high,negative,Order ORD-3731802 not delivered on time,"I'm having a serious issue — order ORD-3731802 was due 2026-02-07. It is now 8 days late. DHL tracking 1Z1842711399 shows no updates. I am very frustrated.

Looking forward to your response.",2025-02-16,chat,4
TKT-000304,E-Commerce / Retail,technical,high,positive,Wishlist items disappear after logout,"Dear support team,

I save items to my wishlist but every time I log out and back in the wishlist is empty.

Please help ASAP.",2025-07-29,web,8
TKT-000305,E-Commerce / Retail,technical,medium,neutral,Discount vanishes between cart and checkout,"A 13% discount shows correctly in my cart but disappears at checkout.

Regards,",2025-07-26,web,24
TKT-000306,E-Commerce / Retail,delivery,medium,neutral,Order ORD-1868228 stuck in transit 14 days,"Hello,

Order ORD-1868228 has shown 'In Transit' on UPS for 10 days. Last scan: Atlanta hub.

Thanks,",2025-10-01,mobile,8
TKT-000309,E-Commerce / Retail,delivery,high,neutral,Damaged item in order ORD-7571430,"Hi there,

The item in order ORD-7571430 arrived with a cracked outer box. Product inside is unusable. I have photos.

Looking forward to your response.",2025-12-12,web,1
TKT-000311,E-Commerce / Retail,billing,high,negative,Refund for order ORD-7003042 not received after 27 days,"To whom it may concern,

I cancelled order ORD-7003042 on 2026-02-09. The $225 refund was promised within 7 business days. Still nothing. 

Thanks,",2025-02-25,web,1
TKT-000315,E-Commerce / Retail,technical,high,neutral,App crashes at payment on Android 14,"To whom it may concern,

The app crashes every time I reach the payment screen. Reinstalled twice. Version 4.1.2.

Thanks,",2025-03-14,chat,4
TKT-000318,E-Commerce / Retail,delivery,high,negative,Order ORD-7340176 not delivered on time,"I'm having a serious issue — order ORD-7340176 was due 2026-02-06. It is now 3 days late. DHL tracking 1Z7946378529 shows no updates. Please fix this as soon as possible.

Regards,",2025-10-06,web,4
TKT-000322,E-Commerce / Retail,delivery,high,neutral,Order ORD-1659809 delivered to wrong address,"Hey,

DHL shows order ORD-1659809 delivered to wrong zip code. My correct address is on the confirmation.

Looking forward to your response.",2025-04-27,chat,1
TKT-000324,E-Commerce / Retail,billing,high,negative,Gift card balance ignored at checkout,"My $668 gift card (GC-645168) was not deducted at checkout. I was charged the full amount.

Please help ASAP.",2026-01-18,chat,48
TKT-000333,E-Commerce / Retail,technical,low,neutral,Cannot add items to cart — page keeps reloading,"Good afternoon,

Every 'Add to Cart' click reloads the page and leaves the cart empty. Tried Edge on Windows 11.",2025-07-20,chat,120
TKT-000334,E-Commerce / Retail,billing,low,negative,Refund for order ORD-2813842 not received after 28 days,"Hi there,

I cancelled order ORD-2813842 on 2026-02-02. The $679 refund was promised within 3 business days. Still nothing. I need this resolved immediately.

Thanks,",2025-10-28,mobile,96
TKT-000335,E-Commerce / Retail,billing,high,negative,Gift card balance ignored at checkout,"My $747 gift card (GC-830821) was not deducted at checkout. I was charged the full amount. This is very urgent.

Best,",2025-05-15,web,4
TKT-000336,E-Commerce / Retail,billing,high,neutral,Partial refund for order ORD-2878919 is short,"I returned 3 items from order ORD-2878919 worth $477. The refund I got was only $7. I'm owed $470 more.

Please help ASAP.",2025-03-03,mobile,48
TKT-000337,E-Commerce / Retail,account,low,positive,Loyalty points dropped to zero after app update,"I had 3464 points. After the app updated on 2026-02-08 they all vanished.

Best,",2025-06-04,mobile,24
TKT-000341,E-Commerce / Retail,account,low,neutral,Entire order history disappeared after app update,"Good morning,

After updating to v4.2.0 on 2026-02-11, all 72 past orders are gone.

Best,",2025-11-23,email,96
TKT-000344,E-Commerce / Retail,delivery,high,negative,Wrong item in order ORD-1063745,I ordered a size M black jacket but received the wrong size in order ORD-1063745.,2025-08-26,web,2
TKT-000345,E-Commerce / Retail,technical,high,neutral,Search returns zero results for existing products,"Hey,

Searching 'running shoes' returns nothing, yet these products appear on the homepage.",2025-07-24,web,8
TKT-000346,E-Commerce / Retail,billing,medium,neutral,Tax charged on tax-exempt account — order ORD-2476897,"Dear support team,

My tax exemption certificate is on file but order ORD-2476897 still shows $62 in sales tax. Please reverse.",2025-06-21,web,8
TKT-000347,E-Commerce / Retail,account,medium,negative,Locked out by two-factor authentication,I'm really frustrated because i got a new phone and cannot get past the 2FA screen. ,2025-11-02,web,48
TKT-000348,E-Commerce / Retail,delivery,medium,negative,Package ORD-5905796 delivered to someone else,"Hello,

Delivery photo shows my package left at a different house. My address is clearly on the label.

Best,",2025-09-15,web,72
TKT-000351,E-Commerce / Retail,account,medium,neutral,Cannot update delivery address — reverts on save,"To whom it may concern,

Every time I update my default address it reverts to the old one.

I expect a quick resolution.",2025-04-10,web,24
TKT-000353,E-Commerce / Retail,delivery,high,positive,Damaged item in order ORD-2569791,"Good morning,

The item in order ORD-2569791 arrived with a soaked outer box. Product inside is unusable. I have photos.",2025-12-12,mobile,48
TKT-000362,E-Commerce / Retail,delivery,high,positive,Missing items from order ORD-8688134,"Good morning,

I received the box for order ORD-8688134 but only 2 of 4 items were inside.

Looking forward to your response.",2026-01-28,web,12
TKT-000365,E-Commerce / Retail,billing,high,negative,Promo code not applied — order ORD-9221787,"I used code WELCOME20 at checkout for order ORD-9221787 but the 60% discount was never deducted. I was charged $637. 

Thanks,",2025-11-15,web,8
TKT-000367,E-Commerce / Retail,account,medium,neutral,Account shows wrong order count,"Hey,

My account summary says I have 9 orders but I've actually placed 80.",2026-01-03,chat,24
TKT-000372,E-Commerce / Retail,billing,medium,negative,Wrong amount charged on order ORD-7857989,"Invoice for order ORD-7857989 shows $465 but the product page listed $441. I was overcharged by $24.

Best,",2025-09-03,chat,96
TKT-000376,E-Commerce / Retail,account,medium,neutral,Password reset email not arriving,"Hey,

Clicked 'Forgot Password' 7 times. No reset email arrives. Checked spam.

Regards,",2025-03-23,web,24
TKT-000390,E-Commerce / Retail,billing,high,negative,Gift card balance ignored at checkout,"My $560 gift card (GC-178687) was not deducted at checkout. I was charged the full amount. Please fix this as soon as possible.

I expect a quick resolution.",2025-03-20,mobile,24
TKT-000393,E-Commerce / Retail,billing,medium,positive,Subscription charge I never authorised,"A $9/month charge appeared on my statement. I never signed up for any subscription. Please cancel and refund all 3 months.

Please help ASAP.",2026-01-25,web,12
TKT-000394,E-Commerce / Retail,delivery,high,negative,Return pickup for ORD-7710683 never scheduled,"Good afternoon,

I'm having a serious issue — i requested a return pickup for order ORD-7710683 on 2026-02-09 but no one has contacted me to arrange it. I am very frustrated.",2025-07-31,web,4
TKT-000403,E-Commerce / Retail,technical,medium,negative,App crashes at payment on iOS 17,"To whom it may concern,

I can't believe that the app crashes every time I reach the payment screen. Reinstalled twice. Version 4.1.2. I am very frustrated.

I expect a quick resolution.",2026-01-24,web,96
TKT-000405,E-Commerce / Retail,technical,medium,negative,Product images broken on all pages,All images show broken icons on Chrome v118 on macOS Sonoma. Cleared cache.,2025-05-20,mobile,24
TKT-000406,E-Commerce / Retail,account,high,neutral,Cannot see invoices or download receipts,"Hi,

'My Invoices' shows a blank page. I need receipts for 8 orders for expenses.",2026-02-05,web,4
TKT-000409,E-Commerce / Retail,account,medium,negative,Cannot update delivery address — reverts on save,"Hello,

Every time I update my default address it reverts to the old one. This is very urgent.

Regards,",2025-05-04,chat,24
TKT-000410,E-Commerce / Retail,technical,medium,neutral,Payment page 504 Gateway Timeout,"Every time I click 'Proceed to Payment' I get a 504 error after ~30s. Tried Edge and mobile.

I expect a quick resolution.",2025-07-17,web,24
TKT-000413,E-Commerce / Retail,technical,high,neutral,Product images broken on all pages,"All images show broken icons on Chrome v116 on Windows 11. Cleared cache.

Looking forward to your response.",2025-08-06,web,2
TKT-000414,E-Commerce / Retail,technical,medium,negative,Wishlist items disappear after logout,"Good afternoon,

I save items to my wishlist but every time I log out and back in the wishlist is empty. I am very frustrated.

Please help ASAP.",2025-05-06,mobile,48
TKT-000418,E-Commerce / Retail,technical,medium,neutral,Checkout form validation loop — address rejected,Checkout keeps saying my address is invalid. I've tried 8 times.,2025-03-20,chat,72
TKT-000421,E-Commerce / Retail,technical,low,neutral,Website logs me out every few minutes,"To whom it may concern,

The site logs me out every 5 minutes even when actively using it. Cookies are enabled.

Best,",2025-12-28,web,168
TKT-000423,E-Commerce / Retail,technical,medium,neutral,Cannot add items to cart — page keeps reloading,"Hello,

Every 'Add to Cart' click reloads the page and leaves the cart empty. Tried Safari on macOS Sonoma.

Thank you,",2025-04-03,web,24
TKT-000425,E-Commerce / Retail,account,high,negative,Account shows wrong order count,"Hey,

I can't believe that my account summary says I have 18 orders but I've actually placed 49.",2025-03-04,email,1
